sim_time_s,wall_ahead,wall_left,wall_front_right,wall_right,left_density,center_density,right_density,mean_right,target_visible,target_direction,left_velocity,right_velocity
3.392,False,False,False,True,0.01352,0.01432,0.01042,183.568,False,,3.0,3.0
3.424,False,False,False,True,0.01358,0.01432,0.01042,183.568,False,,3.0,3.0
3.456,False,False,False,True,0.01364,0.01438,0.01042,183.568,False,,3.0,3.0
3.488,False,False,False,True,0.01364,0.01438,0.01042,183.568,False,,3.0,3.0
3.52,False,False,False,True,0.01364,0.01438,0.01042,183.568,False,,3.0,3.0
3.552,False,False,False,True,0.01352,0.01438,0.01042,183.568,False,,3.0,3.0
3.584,False,False,False,True,0.01352,0.01445,0.01042,183.568,False,,3.0,3.0
3.616,False,False,False,True,0.01352,0.01445,0.01042,183.568,False,,3.0,3.0
3.648,False,False,False,True,0.01345,0.01445,0.01042,183.568,False,,3.0,3.0
3.68,False,False,False,True,0.01339,0.01445,0.01042,183.568,False,,3.0,3.0
3.712,False,False,False,True,0.01345,0.01438,0.01042,183.568,False,,3.0,3.0
3.744,False,False,False,True,0.01352,0.01451,0.01042,183.568,False,,3.0,3.0
3.776,False,False,False,True,0.01345,0.01445,0.01042,183.568,False,,3.0,3.0
3.808,False,False,False,True,0.01339,0.01445,0.01042,183.568,False,,3.0,3.0
3.84,False,False,False,True,0.01345,0.01445,0.01042,183.568,False,,3.0,3.0
3.872,False,False,False,True,0.01339,0.01445,0.01042,183.568,False,,3.0,3.0
3.904,False,False,False,True,0.01339,0.01445,0.01042,183.568,False,,3.0,3.0
3.936,False,False,False,True,0.01339,0.01451,0.01042,183.568,False,,3.0,3.0
3.968,False,False,False,True,0.01352,0.01445,0.01042,183.568,False,,3.0,3.0
4.0,False,False,False,True,0.01333,0.01451,0.01042,183.568,False,,3.0,3.0
4.032,False,False,False,True,0.01339,0.01457,0.01042,183.568,False,,3.0,3.0
4.064,False,False,False,True,0.01339,0.01457,0.01042,183.568,False,,3.0,3.0
4.096,False,False,False,True,0.01345,0.01457,0.01042,183.568,False,,3.0,3.0
4.128,False,False,False,True,0.01333,0.01457,0.01042,183.568,False,,3.0,3.0
4.16,False,False,False,True,0.01339,0.01457,0.01042,183.568,False,,3.0,3.0
4.192,False,False,False,True,0.01352,0.01451,0.01042,183.568,False,,3.0,3.0
4.224,False,False,False,True,0.01352,0.01457,0.01042,183.568,False,,3.0,3.0
4.256,False,False,False,True,0.01352,0.01463,0.01042,183.568,False,,3.0,3.0
4.288,False,False,False,True,0.01345,0.01463,0.01042,183.568,False,,3.0,3.0
4.32,False,False,False,True,0.01352,0.01463,0.01042,183.568,False,,3.0,3.0
4.352,False,False,False,True,0.01364,0.01469,0.01042,183.568,False,,3.0,3.0
4.384,False,False,False,True,0.01364,0.01463,0.01042,183.568,False,,3.0,3.0
4.416,False,False,False,True,0.01358,0.01463,0.01042,183.568,False,,3.0,3.0
4.448,False,False,False,True,0.01345,0.01463,0.01042,183.568,False,,3.0,3.0
4.48,False,False,False,True,0.01352,0.01463,0.01042,183.568,False,,3.0,3.0
4.512,False,False,False,True,0.01339,0.01476,0.01042,183.568,False,,3.0,3.0
4.544,False,False,False,True,0.01352,0.01476,0.01042,183.568,False,,3.0,3.0
4.576,False,False,False,True,0.01352,0.01463,0.01042,183.568,False,,3.0,3.0
4.608,False,False,False,True,0.01339,0.01463,0.01042,183.568,False,,3.0,3.0
4.64,False,False,False,True,0.01352,0.01469,0.01042,183.568,False,,3.0,3.0
4.672,False,False,False,True,0.01345,0.01469,0.01042,183.568,False,,3.0,3.0
4.704,False,False,False,True,0.01352,0.01469,0.01042,183.568,False,,3.0,3.0
4.736,False,False,False,True,0.01358,0.01469,0.01042,183.568,False,,3.0,3.0
4.768,False,False,False,True,0.01352,0.01469,0.01042,183.568,False,,3.0,3.0
4.8,False,False,False,True,0.01352,0.01476,0.01042,183.568,False,,3.0,3.0
4.832,False,False,False,True,0.01345,0.01488,0.01042,183.568,False,,3.0,3.0
4.864,False,False,False,True,0.01352,0.01488,0.01042,183.568,False,,3.0,3.0
4.896,False,False,False,True,0.01358,0.01482,0.01042,183.568,False,,3.0,3.0
4.928,False,False,False,True,0.01358,0.01482,0.01042,183.568,False,,3.0,3.0
4.96,False,False,False,True,0.01358,0.01476,0.01042,183.568,False,,3.0,3.0
4.992,False,False,False,True,0.01358,0.01476,0.01042,183.568,False,,3.0,3.0
5.024,False,False,False,True,0.01358,0.01476,0.01042,183.568,False,,3.0,3.0
5.056,False,False,False,True,0.01358,0.01482,0.01042,183.568,False,,3.0,3.0
5.088,False,False,False,True,0.01358,0.01488,0.01042,183.568,False,,3.0,3.0
5.12,False,False,False,True,0.01358,0.01488,0.01042,183.568,False,,3.0,3.0
5.152,False,False,False,True,0.01358,0.01488,0.01042,183.568,False,,3.0,3.0
5.184,False,False,False,True,0.01705,0.01141,0.01042,183.568,False,,3.0,3.0
5.216,False,False,False,True,0.01705,0.01147,0.01042,183.568,False,,3.0,3.0
5.248,False,False,False,True,0.01711,0.01128,0.01042,183.568,False,,3.0,3.0
5.28,False,False,False,True,0.0168,0.01153,0.01042,183.568,False,,3.0,3.0
5.312,False,False,False,True,0.0168,0.01159,0.01042,183.568,False,,3.0,3.0
5.344,False,False,False,True,0.0168,0.01159,0.01042,183.568,False,,3.0,3.0
5.376,False,False,False,True,0.01662,0.01178,0.01042,183.568,False,,3.0,3.0
5.408,False,False,False,True,0.01798,0.01042,0.01042,183.568,False,,3.0,3.0
5.44,False,False,False,True,0.01798,0.01042,0.01042,183.568,False,,3.0,3.0
5.472,False,False,False,True,0.01798,0.01042,0.01042,183.568,False,,3.0,3.0
5.504,False,False,False,True,0.01792,0.01042,0.01042,183.568,False,,3.0,3.0
5.536,False,False,False,True,0.01804,0.01042,0.01042,183.701,False,,3.0,3.0
5.568,False,False,False,True,0.01804,0.01042,0.01042,183.835,False,,3.0,3.0
5.6,False,False,False,True,0.01804,0.01042,0.01042,184.102,False,,3.0,3.0
5.632,False,False,False,True,0.01798,0.01042,0.01042,184.236,False,,3.0,3.0
5.664,False,False,False,True,0.01823,0.01042,0.01042,184.503,False,,3.0,3.0
5.696,False,False,False,True,0.01804,0.01042,0.01042,184.637,False,,3.0,3.0
5.728,False,False,False,True,0.01817,0.01042,0.01042,184.904,False,,3.0,3.0
5.76,False,False,False,True,0.01823,0.01042,0.01042,185.038,False,,3.0,3.0
5.792,False,False,False,True,0.01804,0.01042,0.01042,185.305,False,,3.0,3.0
5.824,False,False,False,True,0.01817,0.01042,0.01042,185.439,False,,3.0,3.0
5.856,False,False,False,True,0.01817,0.01042,0.01042,185.573,False,,3.0,3.0
5.888,False,False,False,True,0.01817,0.01042,0.01042,185.84,False,,3.0,3.0
5.92,False,False,False,True,0.01823,0.01042,0.01042,185.974,False,,3.0,3.0
5.952,False,False,False,True,0.01817,0.01042,0.01042,186.241,False,,3.0,3.0
5.984,False,False,False,True,0.01817,0.01042,0.01042,186.375,False,,3.0,3.0
6.016,False,False,False,True,0.01823,0.01042,0.01042,186.643,False,,3.0,3.0
6.048,False,False,False,True,0.01823,0.01042,0.01042,186.776,False,,3.0,3.0
6.08,False,False,False,True,0.01823,0.01042,0.01042,187.044,False,,3.0,3.0
6.112,False,False,False,True,0.01817,0.01042,0.01042,187.178,False,,3.0,3.0
6.144,False,False,False,True,0.01817,0.01042,0.01042,187.445,False,,3.0,3.0
6.176,False,False,False,True,0.01811,0.01042,0.01042,187.579,False,,3.0,3.0
6.208,False,False,False,True,0.01817,0.01042,0.01042,187.847,False,,3.0,3.0
6.24,False,False,False,True,0.01823,0.01042,0.01042,187.98,False,,3.0,3.0
6.272,False,False,False,True,0.01811,0.01042,0.01042,188.248,False,,3.0,3.0
6.304,False,False,False,True,0.01817,0.01042,0.01042,188.382,False,,3.0,3.0
6.336,False,False,False,True,0.01811,0.01042,0.01042,188.516,False,,3.0,3.0
6.368,False,False,False,True,0.01804,0.01042,0.01042,188.784,False,,3.0,3.0
6.4,False,False,False,True,0.01823,0.01042,0.01042,188.918,False,,3.0,3.0
6.432,False,False,False,True,0.01835,0.01042,0.01042,189.186,False,,3.0,3.0
6.464,False,False,False,True,0.01829,0.01042,0.01042,189.32,False,,3.0,3.0
6.496,False,False,False,True,0.01848,0.01042,0.01042,189.588,False,,3.0,3.0
6.528,False,False,False,True,0.01848,0.01042,0.01042,189.722,False,,3.0,3.0
